DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CH,2023-10,106.72,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CH,2023-11,106.17,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CH,2023-12,106.44,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-03,112.64,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-04,113.67,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-05,114.07,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-06,114.41,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-07,115.97,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-08,117.28,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-09,117.48,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-10,117.32,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-11,115.51,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CY,2023-12,114.09,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-03,147.7,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-04,147.5,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-05,147.9,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-06,148.4,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-07,149.0,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-08,149.3,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-09,148.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-10,148.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-11,148.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,CZ,2023-12,147.5,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-03,125.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-04,125.8,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-05,125.6,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-06,126.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-07,126.7,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-08,127.2,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-09,127.4,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-10,127.2,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-11,126.3,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DE,2023-12,126.6,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-03,117.8,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-04,118.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-05,116.3,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-06,116.7,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-07,119.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-08,118.1,
ESTAT:PRC_HICP_MIDX(1.0),17/01/24 11:00:00,M,I15,CP00,DK,2023-09,117.8,
