naam,locatie,prijs,beoordeling,Stad,Checkin_datum,Checkout_datum,Num_volwassenen,Num_kinderen,Datum_tijd_stempel
Mercure Amsterdam Sloterdijk Station,"Amsterdam Westpoort, Amsterdam",109,8.4,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
easyHotel Amsterdam Arena Boulevard,"Amsterdam Zuidoost, Amsterdam",51,7.3,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Postillion Hotel Amsterdam,"Amsterdam Oost, Amsterdam",110,8.6,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Eden Hotel Amsterdam,"Amsterdam Centrum, Amsterdam",163,8.2,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
citizenM Amstel Amsterdam,"Amsterdam Centrum, Amsterdam",144,8.8,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
XO Hotels City Centre,"Amsterdam Centrum, Amsterdam",67,7.1,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
INNSiDE by Meliá Amsterdam,"Zuideramstel, Amsterdam",159,8.5,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
"Holiday Inn Express Amsterdam - South, an IHG Hotel","Zuideramstel, Amsterdam",117,8.0,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Hotel V Nesplein,"Amsterdam Centrum, Amsterdam",177,8.8,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Mercure Amsterdam North Station,"Amsterdam Noord, Amsterdam",98,8.9,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Hotel Corner House,"Amsterdam Centrum, Amsterdam",85,7.7,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
"Max Brown Hotel Canal District, part of Sircle Collection","Amsterdam Centrum, Amsterdam",107,7.8,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
Catalonia Vondel Amsterdam,"Amsterdam Oud-West, Amsterdam",100,7.9,Amsterdam,2024-01-31,2024-02-01,2,0,2024-01-31 12:33:41.516903
