naam,locatie,prijs,beoordeling,Stad,Checkin_datum,Checkout_datum,Num_volwassenen,Num_kinderen,Datum_tijd_stempel
Zenden Hotel Maastricht,"Centrum Maastricht, Maastricht",109,8.2,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
KABOOM Maastricht,"Wyck, Maastricht",110,7.9,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Mabi City Centre Hotel,"Boschstraatkwartier, Maastricht",136,8.1,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
The Green Elephant Hostel & Spa,"Wyck, Maastricht",96,8.1,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Urban Residences Maastricht,"Centrum Maastricht, Maastricht",160,8.6,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel Van der Valk Maastricht,Maastricht,191,8.4,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Crowne Plaza Maastricht,"Wyck, Maastricht",187,7.6,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel de la Bourse,"Centrum Maastricht, Maastricht",120,7.7,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
easyHotel Maastricht City Centre,"Centrum Maastricht, Maastricht",95,7.8,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Stayokay Hostel Maastricht,"Jekerkwartier, Maastricht",117,8.2,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Select Hotel Maastricht,"Witte Vrouwenveld, Maastricht",116,7.9,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Amrâth Hotel Bigarré,"Boschstraatkwartier, Maastricht",140,7.8,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Derlon Hotel Maastricht,"Centrum Maastricht, Maastricht",234,7.6,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Botel Maastricht,"Jekerkwartier, Maastricht",91,7.2,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Galerie Hotel Dis,"Centrum Maastricht, Maastricht",159,8.7,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Landgoed Kasteel de Hoogenweerth,"Heugum, Maastricht",232,8.5,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel Beez,"Boschstraatkwartier, Maastricht",135,7.4,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Kruisherenhotel Maastricht,"Kommelkwartier, Maastricht",393,8.7,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Dormio Resort Maastricht Apartments,Maastricht,256,8.3,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Dormio Resort Maastricht,Maastricht,281,8.1,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
B&B Au Lion D'or,"Wyck, Maastricht",175,8.9,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Artagnan,"Kommelkwartier, Maastricht",143,8.8,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Dormio Resort Maastricht Castellum Apartments,Maastricht,348,8.6,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel Matuchi,"Boschstraatkwartier, Maastricht",119,7.6,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel Trash Deluxe,"Boschstraatkwartier, Maastricht",215,8.7,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
B&B Maas en Heuvel Maastricht,Maastricht,157,8.4,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel Restaurant in den Hoof,Maastricht,153,8.1,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel Matuchi,"Boschstraatkwartier, Maastricht",119,7.6,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
"city Apartment ""Op de Thermen""","Centrum Maastricht, Maastricht",325,9.0,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hallo Maastricht B&B Fientje,Maastricht,163,9.2,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hallo Maastricht B&B Fientje de luxe,Maastricht,259,8.9,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Monumentale stadswoning in hartje binnenstad,"Centrum Maastricht, Maastricht",236,10.0,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Aldenhof Appartementen,"Jekerkwartier, Maastricht",326,8.4,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Hotel Monastère Maastricht,"Boschstraatkwartier, Maastricht",162,8.0,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
The Social Hub Maastricht,"Boschstraatkwartier, Maastricht",201,8.3,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Townhouse Design Hotel & Spa,"Wyck, Maastricht",172,7.9,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Designhotel Maastricht,"Wyck, Maastricht",193,8.0,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Le Theatre,"Centrum Maastricht, Maastricht",251,8.4,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Bastion Hotel Maastricht Centrum,"Boschstraatkwartier, Maastricht",162,7.0,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Boutique hotel Sint Jacob,"Centrum Maastricht, Maastricht",181,7.6,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Townhouse Apartments Maastricht,"Wyck, Maastricht",172,8.1,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
"Fitz Roy Urban Hotel, Bar and Garden","Boschstraatkwartier, Maastricht",241,8.5,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Amrâth Grand Hotel de l’Empereur,"Wyck, Maastricht",197,7.4,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Alex Maastricht,"Wyck, Maastricht",180,8.5,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Novotel Maastricht,Maastricht,223,7.7,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
NH Maastricht,"Randwijck, Maastricht",247,7.7,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
BEAUMONT Maastricht,"Wyck, Maastricht",290,8.5,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Amrâth Hotel DuCasque,"Centrum Maastricht, Maastricht",192,7.5,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
Dormio Hotel De Prins van Oranje,Maastricht,254,8.3,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
The Dutch Maastricht,"Wyck, Maastricht",198,8.2,Maastricht,2024-01-28,,,,2024-01-26 16:17:59.438042
